"","sex","total_weight_delta","pro_weight","Na","BUN","AnGap","K","Crea","Hct","Cl","Glu","Hb.","TCO2","iCa","trt","mean_RQ","mean_EE","mean_H2Og","body_temp_3","tissue"
"MEpink",0.953409058471126,0.756668883855988,0.763824285651688,0.56336244783597,0.72664135205232,0.961069850324814,0.81682614485833,0.880390689007571,0.764814025099071,0.505792586251161,0.442594342733797,0.763137098973199,0.698800334512447,0.91057547194463,0.943295578161551,0.673575484385489,0.991533928217518,0.935319560448565,0.974796917623232,5.94132880581011e-14
"MEmidnightblue",0.803222760065146,0.448752671344114,0.431191944101199,0.252800015316426,0.377937463857962,0.792977012113989,0.969165920479311,0.731391807497712,0.346628792303364,0.265592646507396,0.491427440608994,0.34792523575436,0.552208568932418,0.789156871504306,0.731528157001345,0.952037729792411,0.931192928475894,0.495960705277721,0.713114106489794,3.48064635686761e-14
"MEpurple",0.920432246839967,0.382655882603885,0.326515588059369,0.164425230895685,0.326079643083027,0.983145221853807,0.960267377322858,0.807034388589227,0.400024380834197,0.156544206213106,0.503253518817552,0.40270541347767,0.452493228621763,0.699202031932589,0.6336020353448,0.879538653077909,0.750018550765268,0.520319703154499,0.577628814392999,0.440983722360808
"MEcyan",0.700480636233498,0.944700895292817,0.863164065019934,0.684873360390733,0.842805530790461,0.880362762017192,0.99691920429669,0.965330526501978,0.996149347439134,0.682066802822166,0.741069135216784,0.995272717013181,0.908026785907405,0.733434759523649,0.971228159512668,0.890427155229862,0.909535441774856,0.921909015945085,0.859107703974778,0.152195401417264
"MEgrey60",0.685945179332332,0.601224414657519,0.653218394205691,0.687226787023776,0.660053287513111,0.85149684596139,0.99130058664753,0.847989750797924,0.606219422820464,0.651647248681106,0.869371352865788,0.607720951300548,0.756298121711198,0.829713189303272,0.838103315656515,0.960950301955877,0.89828064768954,0.697994183672586,0.924596072520565,0.0222634696252558
"MElightgreen",0.886097395167342,0.621377013747715,0.554835459842722,0.326197315649008,0.484266121644565,0.841373055080739,0.973685078457179,0.908685148648871,0.663571953875487,0.329695850111115,0.465767830295158,0.66529003120592,0.607463587901844,0.717095880607031,0.755525525120423,0.803079186844859,0.831562658312059,0.847710970166902,0.758044129217725,0.0761868230660396
"MEdarkgrey",0.91750303390522,0.813811508298018,0.830093428056681,0.890442108065326,0.933189636085915,0.799028136584829,0.88271103705193,0.974758445361171,0.841399243417352,0.860398470421096,0.797530462894303,0.843045471247803,0.928992751682484,0.980200424390016,0.921990342874331,0.927546263966056,0.949115361184994,0.751171631992891,0.912680526184605,0.000398394886672874
"MEtan",0.810834326900878,0.505334462516454,0.560874646477687,0.722684754338669,0.53713070416094,0.946013959382423,0.9295444607475,0.747140002655609,0.425045965237377,0.749220946286755,0.99201142226383,0.425508119002929,0.725488934662176,0.703695602834401,0.690514105389533,0.613622526704037,0.901674817590949,0.475644193361725,0.924189780658669,2.60838485272653e-08
"MEdarkred",0.879216534135726,0.785595921421498,0.842731068325875,0.998305678218774,0.789155912225184,0.967268748085389,0.843284021699377,0.828965932813213,0.573703123063471,0.945319513494684,0.955687919662947,0.569925263696959,0.826333265649362,0.708455852775058,0.848976201389573,0.6879766908044,0.814783359345634,0.832386455886845,0.995446417377523,3.94877994376108e-42
"MEblue",0.979981489095294,0.635029979241331,0.686275647047074,0.877416995243664,0.646087495570896,0.975261538077622,0.912098996701611,0.877224946743662,0.62582842912725,0.947724384107611,0.966187776653121,0.623864057049534,0.729290569929288,0.71886553854322,0.73710949978859,0.72628912663314,0.996638085411397,0.771187727203047,0.954347855776676,5.16906475062399e-13
"MEdarkgreen",0.922330383035327,0.248040038895688,0.247280431793015,0.245733257220801,0.2282026818508,0.820900494477283,0.676785460359247,0.743350712137709,0.172967031605169,0.363995478393473,0.868138008742826,0.17475414064998,0.428423530399782,0.981736810254093,0.353177264847937,0.401509666301705,0.897817326720179,0.383142389876333,0.653772220256384,0.00222354276016939
"MElightyellow",0.960089228538937,0.606155221276814,0.627417492075369,0.659240503879207,0.57526825720357,0.87509731539558,0.897832141434741,0.829700663807371,0.558703351941718,0.655321496017873,0.7953956547316,0.557700104000002,0.672311081321818,0.890668119991676,0.830382144520594,0.880183096057871,0.924904981063519,0.69722998231044,0.897422233071299,6.77813091335011e-08
"MEblack",0.865229794139629,0.985359307720592,0.913807749120217,0.706098615575802,0.991645436833407,0.942758393355262,0.788428620668981,0.787849951995542,0.964605029038009,0.675560826198483,0.905106229825169,0.962617323743152,0.992824386993419,0.737985406630788,0.95580157458988,0.891950875659298,0.977576136428891,0.965735773995255,0.788193583436744,2.6363903877008e-34
"MEturquoise",0.751086664935548,0.84376959425325,0.901669753324001,0.89245596334853,0.770276249693236,0.941734127183821,0.841989384523561,0.801423622043693,0.840763851629685,0.86179809582862,0.585689471750052,0.841996024521389,0.915068713225937,0.817058157392215,0.966062287532986,0.911512912715593,0.901763589251534,0.899091568021887,0.896818963041284,7.1279752233817e-11
"MElightcyan",0.94017860527874,0.952455710002722,0.929527870778135,0.91945108918292,0.961562399763443,0.753191248844459,0.831518065428567,0.87815549086856,0.954470248597709,0.910263439839338,0.766350046589418,0.954309395239316,0.917958298425175,0.934517928247443,0.945460041686038,0.99283498306562,0.95874315454899,0.96864412437992,0.888246096782409,2.01680979613666e-08
"MEdarkturquoise",0.876365774999354,0.843121749205978,0.828412131999248,0.69347295990901,0.726320023346642,0.825487187369619,0.964684532768758,0.986527026211465,0.994496305213876,0.710195403386507,0.728549243146215,0.997281975354471,0.896563559103265,0.92284377837417,0.910084166637616,0.904442394491585,0.808644843705762,0.950124914949976,0.964836043948451,0.270631372991025
"MEorange",0.897598451929141,0.155934919497443,0.123174249671236,0.0430554178974477,0.0978064387144637,0.793010480943599,0.612027603950447,0.771286224182927,0.105065578436552,0.0632765321617226,0.766191824865316,0.106797146272715,0.276384989579914,0.647816218521994,0.299080534930616,0.656750006366402,0.774001480169005,0.281357738749763,0.418806669935318,0.197010986361467
"MEgreen",0.865021156118404,0.864593940108569,0.907904899794808,0.843109030713788,0.783883357609149,0.876046122648107,0.830982064443243,0.977686028366802,0.934759231203473,0.821421102196797,0.666565031355165,0.934119653534624,0.936739123244916,0.893956920667141,0.981509627392551,0.882396436668049,0.957863128768072,0.94713205367104,0.839866154288651,4.14090271533182e-05
"MEroyalblue",0.960787901645934,0.837799289225535,0.783540211420387,0.673017645736588,0.897966296424734,0.900816268439122,0.762067007143794,0.981802652342601,0.854425190814393,0.662656258507824,0.857138936382689,0.85792292450318,0.902551088501554,0.771350969089588,0.876484580693428,0.982213570680257,0.926833023304736,0.786768741749092,0.739773707590785,7.73966699519911e-15
"MEgreenyellow",0.86509799150612,4.51498657379904e-07,2.74726020160492e-08,7.27579775604481e-13,5.18713288626627e-09,0.443034727580115,0.108518150735864,0.0914839270098161,1.22010287181615e-09,3.46611353255969e-10,0.2444128160111,1.42592282879256e-09,2.65953711800897e-05,0.361254782448188,2.32296056174821e-05,0.0721689462006318,0.558799143674871,0.000357469338282255,0.00197108870322768,1.2649388256406e-05
"MEmagenta",0.866514463177412,0.414212677540532,0.374340745407415,0.49259145590962,0.496779509474019,0.821115148951985,0.719359930783345,0.821160073338375,0.381579148690451,0.621960908907826,0.715396919269522,0.383081564920312,0.468460610941933,0.984194644350655,0.356992147604744,0.62705225904688,0.998589346014913,0.578159351789444,0.596887292860082,1.95104502290823e-09
"MEred",0.864295672902319,0.64534965322884,0.603684479122334,0.885817332553756,0.64687533816982,0.795930584812207,0.836546877547694,0.969349872188277,0.53343587808086,0.948588101886126,0.479954242416718,0.532327585349126,0.63862256448601,0.887597300481508,0.456763234614192,0.539259268819985,0.938702347119945,0.804766331436432,0.713938796756588,7.60218001281332e-09
"MEyellow",0.981508813665021,0.791428962314115,0.74557757713314,0.557517535480289,0.841532261350041,0.863678387986175,0.822247842991073,0.897910049740836,0.954463910835932,0.5305836040557,0.797367406861871,0.956571518928207,0.774962012596619,0.719708942050538,0.926642073492651,0.71542097834785,0.868907543678487,0.950274107992544,0.779730577782491,5.81362636752618e-10
"MEbrown",0.886951092624818,0.957560335076387,0.979153198539876,0.915328559397641,0.969977677276491,0.925357742189481,0.752000699244564,0.857263975763961,0.896758460527454,0.990778529172226,0.813890067595904,0.897308375104964,0.894717436959424,0.779758067018056,0.887587429354369,0.966192543922676,0.980247496937667,0.783376365702162,0.825987864890751,3.79213423334737e-12
"MEsalmon",0.854862394748535,0.300847479828848,0.322611229490536,0.312425868905628,0.22042808443524,0.677771693730264,0.823535043748125,0.504638184525792,0.209339707094422,0.36821844595872,0.57553181426266,0.210195302220088,0.499688417575628,0.706377932767914,0.474362296054961,0.561198767330719,0.883407869218971,0.396719282298619,0.870240605475817,5.59352813558484e-84
