"","MEpurple","MEtan","MEturquoise","MEmagenta","MEblack","MEpink","MEblue","MEyellow","MEgreenyellow","MEmidnightblue","MEbrown","MEgreen","MElightcyan","MEred","MEcyan","MEgrey60","MEsalmon","MEgrey"
"X1170_F_hyp_yes",0.0938476328264563,0.229909350746463,0.27043488616377,0.15342900065089,0.332588363992238,0.207311302675922,-0.103329482938893,-0.258825630492594,-0.211916784044887,-0.0899264059156308,-0.161138406673977,-0.311645179941948,0.191118974467572,0.0382697363009318,-0.0414898506236401,0.196095934048792,-0.0113713865279451,-0.103291124388188
"X1165_F_hyp_yes",-0.0244620749773984,-0.0663556829936532,-0.0838156033133191,0.0889423902885579,-0.0485133317359476,0.0448940558743249,0.184961649087188,0.0838822585078097,-0.189580318961135,-0.0961432115846782,-0.107031777899448,0.0353700194220469,-0.0845711901670355,-0.193668383023758,-0.130146655979438,0.0545076612633108,-0.00404856043963486,0.139533320931911
"X1156_F_hyp_yes",-0.00172177361227188,-0.0767931397287703,-0.161205115924459,-0.0223244433548044,-0.104373739330345,0.0106344534463223,0.143209973685281,0.126024247649528,-0.141553702272425,-0.0846040574618288,0.032517018278169,0.035985022090066,-0.0239167648277769,-0.114077380772074,0.131420714012042,-0.0588211312628429,0.138693050743726,-0.0256630586338704
"X1171_F_hyp_no",-0.0172153045635618,0.0596402753266098,-0.119693639583528,-0.0826019650570371,-0.0871899445336392,-0.0687237150753018,0.0604310630630539,0.0847221422272629,0.286074194664944,0.0125259753542343,0.0243467654471975,0.0832930574206249,-0.214103607502587,-0.0600357238836739,0.373956058719217,-0.00812885422555189,0.256096101505276,-0.139247771129074
"X1109_F_hyp_no",0.0925752362446073,0.0337039147508486,-0.145761172124193,-0.294415485927214,-0.183963231497905,-0.200195785051223,-0.12121999366626,0.135878585874099,-0.0613601218648159,-0.0447396330165125,0.289435600363899,0.179676137896003,0.176891969076238,0.195886947758611,-0.084819320809923,-0.0871239410754556,0.101731864448669,-0.0954170011484072
"X1164_F_hyp_no",-0.0373841697572239,0.0234244812455297,-0.125443329273671,-0.331949528097319,-0.216657048710844,-0.267935101237524,-0.144580388553446,0.128874932162575,0.304451094573279,0.813025318805169,0.261182469928935,0.335258101963265,-0.0102115020434348,0.21445709236688,-0.230556626837844,-0.0055385133382233,0.0868236650052024,-0.0178123961227815
"X1010_F_hyp_yes",-0.140491279604063,0.112429453778329,0.329125814662036,0.193760638251595,0.219021109022797,0.0285516563295913,-0.187968359035368,-0.38680442839804,0.0167940418705119,-0.025855265835407,-0.249095700516758,-0.0717679790550835,0.0906423552837502,0.082914308220079,-0.117684564662431,-0.123628956790003,-0.177607103738111,0.194563291322024
"X1154_F_hyp_no",-0.0970243603866605,0.108741377846661,0.283606341403674,0.141374762110905,0.209508606784828,0.0633841805699356,-0.151838111718445,-0.305217523301073,-0.231361932746054,0.0190724769250332,-0.176570604645678,-0.128149712565193,0.210482993141886,0.0723535401034007,-0.13711667191049,-0.107646459005414,0.143526023047514,0.0631099067143433
"X1151_F_hyp_no",-0.221895081978239,-0.361138319499093,-0.130558739461993,0.102934677276636,-0.206484820303218,-0.0486340977216273,0.20547716023994,0.145050109434716,-0.194334287392247,0.11229683590244,-0.0886618538365543,0.143929892480866,-0.141679151044525,-0.195978741273458,0.0217537342326261,-0.0732300340050187,-0.119879398901521,0.201709553241997
"X1152_F_hyp_no",0.111238580365588,0.12166748246645,-0.151246636992436,-0.284786756611215,-0.151603559012274,-0.17545623581281,-0.0985059969885333,0.131992196846057,-0.046225409056422,0.0288078322093229,0.287376203074169,0.18442002353107,0.208469459110877,0.155500569231256,-0.209158754186727,-0.105794662031532,-0.128976399298555,-0.109185563651424
"X1108_F_hyp_yes",0.104355384828293,0.229664898888314,0.21382200381954,0.0911607659250023,0.27431887540868,0.165221773797641,-0.105140149939998,-0.185837590221688,-0.225122016261536,-0.013980380359223,-0.119547831608314,-0.253457480024796,0.14628375805261,0.0382135254007457,0.0381928160565346,-0.116788504920021,-0.193813521452787,-0.143819116606555
"X1051_F_hyp_yes",-0.0172857279770873,0.100097827618362,0.185144961669257,0.0421051240697916,0.122735423447644,-0.0112612363118175,-0.158106031839058,-0.175457971401496,-0.146871660654262,-0.125984806885412,-0.0335085643284043,-0.0678623442830425,0.219391848194219,0.0869996923581579,0.0346560085011429,-0.132060660920477,-0.235261708366872,0.0269669319793621
"X1157_F_hyp_no",-0.686035436431296,-0.441254596941094,0.226055322653262,0.0690553692154693,-0.21223223430061,-0.368972122748863,-0.19702819225601,-0.179686219684842,0.221988601081142,-0.025569904405564,-0.0811377256562165,0.348007003524301,-0.230753400805379,0.154850676720277,0.201680813564182,-0.0828097736386386,-0.19274560563196,0.638313419005894
"X1175_F_hyp_no",0.188382697587306,0.210015660766054,-0.114664896463331,-0.250918242702498,-0.000318256991556881,-0.0126048785700404,-0.0793158705177419,0.107241872151172,0.352570407632961,0.391741330364852,0.154474778414078,0.0088442985510884,-0.187825515534125,0.097432788797933,0.19210579774146,0.0131025175061757,0.274641391440682,-0.283164219911821
"X1174_F_hyp_no",0.227708956438394,-0.00509442944302003,-0.13258149722803,0.142394842136812,0.083254675150039,0.256656484779048,0.267663761836575,0.144647342831632,0.0945419691676923,-0.10644263315286,-0.129653381264421,-0.183929231712461,-0.244503053612445,-0.261885244263994,-0.0636036600380818,-0.126748038773944,-0.177565288319973,-0.149765041012538
"X1127_M_hyp_yes",-0.333256658826057,-0.448266642365364,-0.112923957848364,0.171131483598973,-0.235405065998088,-0.10990376603306,0.220020889619372,0.119269413592519,-0.191656198034024,0.0377180238793501,-0.0991264746626532,0.189610607155609,-0.0908955494576359,-0.225981373417105,-0.201028957890098,-0.0994212744814937,-0.0775872028554775,0.377013482765967
"X1119_M_hyp_yes",-0.0430050383902634,0.0618235499565678,-0.00260256168297141,-0.185885348892999,-0.105277361483947,-0.203697155467352,-0.172291304352706,0.00303422939750519,-0.0162993770960626,0.0354884653030021,0.224269074899389,0.148047718090734,0.223857882906114,0.19312468488668,0.114766665725301,-0.0467611530756587,-0.0617565983706474,-0.03923593289058
"X1081_M_hyp_no",0.0999901173808752,-0.0484790461649644,-0.139954683158857,0.102788958248723,-0.0158457726882932,0.142417906385305,0.233422904925484,0.128708186257791,-0.0302415943780459,-0.0951026158882691,-0.115255192554452,-0.0123395158441973,-0.184131364141682,-0.233455994845748,-0.0732523307825126,-0.119833653081009,-0.0363975741238146,0.044818479851847
"X1132_M_hyp_no",-0.0848051109553682,0.0896527697423354,0.227984539996368,0.0889519280127034,0.155119023974064,0.0140467106231347,-0.158510183465324,-0.210926914094608,-0.00171971111860735,-0.0576769582366629,-0.0504889737707198,-0.132501414286303,0.15475495192116,0.104363371956445,0.128129154076267,0.394494407931213,0.172911770767333,0.0181998750621821
"X1178_M_hyp_no",-0.0324409333283614,-0.0801894941240639,-0.0706050506481229,0.0228612005065943,-0.0841833072139857,-0.0382733569550703,0.0867962771011976,0.0702543616600523,0.205554874505399,0.116355944173244,-0.00211030547632326,0.0153828500987875,-0.172991793486482,-0.0542610751822078,-0.0211328613664414,0.118721613279121,0.00817473054945751,0.0980956586671269
"X1105_M_hyp_yes",0.101239445386026,0.0350166675217048,-0.136375490319351,-0.290064814466775,-0.173169186141111,-0.198385235099635,-0.128534596932757,0.125071077024197,-0.00504157310658825,0.0781063085577796,0.30501054553937,0.177358386698325,0.240590365866951,0.244309308226549,-0.133541399962816,-0.0852338739293073,0.241087147995446,-0.121922471834517
"X1089_M_hyp_yes",-0.0241133689113213,0.0161269869468754,-0.12614424152043,-0.317165571518836,-0.241244032504483,-0.301205002506844,-0.16517991649246,0.101570284856688,0.0381020344935236,0.0111342035623929,0.341715189320722,0.273524270357485,0.247563722659887,0.264634975128798,0.184133684388446,0.526388339510511,0.286798640159148,-0.0692940339824084
"X1192_M_hyp_yes",0.1787705074092,-0.0411621482094041,-0.134215751880695,0.113335442370781,0.0419951517888792,0.216920040987886,0.248877774461908,0.147227543514862,-0.153486365879418,-0.0758899454467826,-0.0802741650398268,-0.151410577031398,-0.106298544329812,-0.237419603546974,-0.120268588741968,0.116766311298544,-0.00311404499478125,-0.0974327906507592
"X1169_M_hyp_no",0.226271165690716,0.0421149044805788,-0.140244994956468,0.167336801440888,0.107690925817756,0.286283093075455,0.291328757425394,0.139481676990482,0.128947040333361,-0.0964705116149293,-0.177324013498752,-0.178441930100305,-0.363175017510083,-0.306756333833685,-0.417790610729135,-0.146929198650821,-0.0458072502313137,-0.140408853355026
"X1148_M_hyp_yes",0.197954629767136,-0.0707288657605707,-0.126734388132141,0.113514154867182,0.0681032412547392,0.240904756328377,0.233346646105643,0.155388499631508,-0.143410948108965,-0.126486204461693,-0.0711291588565823,-0.18271011070117,-0.0827386816841286,-0.216321508065259,-0.040622178609292,-0.121106076308923,-0.0989964383284354,-0.14227992730406
"X1138_M_hyp_yes",0.0337487263038889,0.0979626692697641,0.105964231245746,0.000224182775940643,0.0948805089377145,0.0443806528096293,-0.0585319501365132,-0.0851103245304473,-0.176339562777965,-0.0960597365459579,-0.0575989820985927,-0.0759267637646163,0.112601533958714,0.0307755205982109,0.0869033522948448,-0.0840482404489519,-0.111028289793579,-0.0130658018288699
"X1139_M_hyp_yes",-0.166126034205452,-0.0313493813125814,0.140141944341729,-0.00515002639916602,-0.0161672389950837,-0.133422809444689,-0.17321706448076,-0.148322152987906,-0.109956944825196,-0.0634017089222117,0.0443114692967263,0.0823234611613521,0.203313139928269,0.136079175307691,0.200630439870167,0.279235166537857,0.0842356136516143,0.124811418152186
"X1013_M_hyp_no",0.0692413934542765,0.0260684527001129,-0.12230017363971,-0.264605493813539,-0.165301415757849,-0.185866650099309,-0.122268281803973,0.113612798095146,0.200207798807106,0.0170654164228162,0.298305549227234,0.156447128645727,0.114812099067609,0.225427032992968,0.295183050543754,-0.0384630457735009,-0.0781872577515034,-0.12832603488844
"X1143_M_hyp_no",0.132360394318597,0.263568197031268,0.277957615747747,0.189051838074467,0.370416752309517,0.254717034215544,-0.107477639529962,-0.2521535894859,0.142267686362252,-0.0810371509530851,-0.213946271326832,-0.303499519546519,-0.113471383227963,0.0358880866694681,0.00370966412651123,-0.122220606657837,-0.246924228437274,-0.142407153933018
"X1173_M_hyp_no",0.0299857871089725,-0.159668767840791,-0.116575641924266,0.130125542315943,-0.0277970417498326,0.144209311110285,0.234668632661686,0.139085600180408,0.14937257226186,-0.103667619386973,-0.119282864428197,-0.0749662819201982,-0.207228072914117,-0.222320340660032,-0.00451049741023096,-0.110962264084422,-0.0966731541353623,0.0472753823653423
"X1071_M_hyp_no",0.0100130890307741,0.180169955252984,0.298374946142401,0.189632672052411,0.280440378875511,0.136431632152425,-0.150274646843128,-0.32926542537416,0.00123602409538641,-0.101061111694756,-0.228246126311116,-0.16106214313397,0.00431678307450651,0.0639907799879157,-0.249893459381566,-0.153450671049361,-0.265250205340542,0.0590620036873903
"X1155_F_hyp_yes",-0.0354850204978415,-0.112156579630863,-0.125313664988449,-0.112110626492873,-0.124909488771689,-0.0690144352752186,0.0425058216112743,0.131052929020317,0.051645349380077,-0.0531168494366068,0.1438929898983,0.052714324137651,-0.0150152524288369,0.0107483249683745,0.111961994630135,0.382853285381134,0.459837028432436,-0.0242932023060247
"X1158_M_hyp_yes",0.0146522694265326,-0.240091870317393,-0.14687929829248,0.154253621801084,-0.0641427693500378,0.120152844711209,0.25766877706912,0.156027145749637,-0.180022444235759,-0.0712783425283025,-0.0765870610416237,-0.0489614299419731,-0.0772281553331242,-0.231849837346765,-0.0975737219202531,-0.0907021396986137,0.0578893711848392,0.0983127883731785
"X1168_F_hyp_yes",0.0504113608348265,0.140930087995818,0.107227921511735,-0.0263870926570741,0.104705810306332,0.0164336935383492,-0.127061927401779,-0.100489663683212,0.262747263584919,-0.0388430777262899,0.0308777818072564,-0.111560689371828,0.00564616334080901,0.107791402133363,0.255006763360259,0.165286490470362,0.0505448181087462,-0.145754016542387
