"","MEmagenta","MEgreenyellow","MEpurple","MEblue","MEyellow","MEred","MEpink","MEturquoise","MEbrown","MEgreen","MEblack","MEtan","MEgrey"
"X1170_F_lu_yes",-0.0496476371857348,-0.0753680139891344,0.0520335170196227,-0.0207287261019636,0.200376925399219,-0.183813596234392,-0.15889309795739,-0.13585950451839,-0.0152729218544328,0.177947587526282,-0.0272116027200847,-0.101243262016864,0.174200373381318
"X1165_F_lu_yes",-0.0970698046012509,-0.0825284346638711,0.778858645995279,0.0575096126242265,0.205319118839451,-0.119035887452843,-0.16223344774451,-0.1350505387208,-0.0554142862916485,0.111485582794717,-0.189504584890093,-0.134758887617077,0.0945660152877112
"X1156_F_lu_yes",-0.0656984908367318,0.109010421543285,0.157060486854873,0.00459061737143901,0.172599754486539,-0.135417791870308,-0.0384848454959814,-0.152272971150355,-0.043717764322131,0.0966885320863896,-0.0806325004672317,-0.474226214762507,0.141019178569067
"X1171_F_lu_no",-0.100704756998343,-0.0232231134228876,-0.174599705113041,-0.0956472533852473,-0.236304396938032,0.235148550152298,0.26526125086321,0.254345420364817,0.0900390643932301,-0.143352308639548,-0.188648922209229,0.187894210864084,-0.25550621533512
"X1109_F_lu_no",-0.0255414404971279,-0.175811601713359,-0.169114219906553,-0.159563836794568,-0.206422069827347,0.0736861385144782,0.0816901136784106,0.22669085995301,0.167981885842415,0.0546475077694042,-0.0492723882778929,0.139235204555285,-0.122399413602202
"X1164_F_lu_no",-0.0502623269344546,0.164045414830307,-0.0598448918890387,-0.114010997056648,-0.176517477315731,0.026134827769449,0.230187275501489,0.138203888810773,0.130124384564874,0.0170225962996766,-0.0367057115820906,-0.263621642472149,-0.0364112175574024
"X1010_F_lu_yes",-0.0687282715701173,0.163880695830199,-0.0480973915932155,0.285299773261054,0.00859935304917343,0.26858108873979,-0.0567991058982034,-0.0378476421570065,-0.223242396618009,-0.255641892212428,-0.0871965969338301,0.0281746659353251,-0.131344705558881
"X1154_F_lu_no",0.033831792544077,0.303140709201164,0.0101325972544993,0.0413601178274441,0.163468849565363,-0.13396924305513,0.0752261123293733,-0.216266104226129,-0.0721412992177186,-0.0112999400943445,0.092847242398319,0.087642439763768,0.187684058952652
"X1152_F_lu_no",-0.0458942299083112,-0.120706676156034,0.167438916735667,-0.139816331970218,0.182052285542005,-0.236552674961127,-0.0946005795965469,-0.108079505430535,0.124853300218043,0.29285135955222,-0.213890217156084,-0.101252425607858,0.214693583678248
"X1108_F_lu_yes",-0.0552433538052063,0.0807015840588361,0.00482968767867285,0.213066432633149,0.175621124191008,0.00665966882823694,-0.0772246955065216,-0.183496214345129,-0.136262411687662,-0.101894102017625,-0.0807796535703486,-0.0534083397497962,0.0694819851334588
"X1051_F_lu_yes",0.454758256708331,0.105173680504906,0.0929783220841008,0.258464541636253,0.134654719149027,0.0652752042793359,-0.167118355834268,-0.157875912517089,-0.246193778219146,-0.116927262772115,0.113749187361606,0.025312734320814,0.0326583862008544
"X1157_F_lu_no",-0.107061054365717,0.274703992195531,-0.119565937645416,0.096553688924342,-0.240073261951606,0.382719132016195,0.350130278734655,0.187817460626144,-0.0740226933725266,-0.311323420669134,-0.264712851242393,-0.101293737833724,-0.363893698079425
"X1175_F_lu_no",-0.106140924959278,-0.191960436967476,-0.235555753571438,-0.399943943687647,-0.334858047633481,0.0546112643358747,0.309899699839984,0.349344573538826,0.345805376472952,0.0706869190070199,-0.18194140614885,-0.0384923275928267,-0.248390815903628
"X1174_F_lu_no",0.00301157659767467,-0.237355685592425,-0.112542527420921,-0.193237175428713,-0.202914981286482,-0.142594154989388,-0.0263911872193829,0.113661344644317,0.341029302219107,0.202102087816475,0.294392158721356,-0.1907189279978,0.170427593796013
"X1127_M_lu_yes",-0.0355674830273887,0.505711172644239,0.0641878639360134,0.525935461075412,0.220830091592193,0.347340050343451,0.0222615838305571,-0.269332914363448,-0.587649976591584,-0.568036060208359,-0.11902010191223,-0.088581922061825,-0.250539401121635
"X1119_M_lu_yes",-0.00303382818041072,0.0388532387008492,0.00935370877568038,0.0379612815752945,0.0906184646335073,-0.161517533254521,-0.1047459640776,-0.184198334478883,0.0408895013129997,0.0930819731757652,0.375276842023219,0.168864441552153,0.220987835686781
"X1081_M_lu_no",-0.0131642740843506,-0.191833246936462,-0.0767101259936868,-0.0056218289682544,-0.0416333223225715,-0.0166673017153594,-0.156728667811938,0.0365649074094334,-0.0513148819019026,-0.0139289918664957,0.287800380892893,0.363470777479737,-0.022455020143613
"X1132_M_lu_no",-0.0584407214537006,-0.0316881116452212,-0.0848260357331675,0.155817716505031,0.0777907946828822,0.0611072221067433,-0.103822375767815,-0.037687152016054,-0.182524260739968,-0.146076007304524,0.00352596576180807,0.049047973680395,-0.0428572316570758
"X1178_M_lu_no",-0.0868360212097329,0.171214272678628,-0.0666889253224024,-0.173370250477736,-0.230524372896395,0.102681659004677,0.366125851888726,0.196243527397105,0.212431010017118,-0.0585185735818669,0.00197144536991416,0.0513982332595271,-0.113020146341479
"X1105_M_lu_yes",0.0474821593453802,0.0496114533690244,0.0231571234365042,-0.0576748010354401,0.127746172420649,-0.222241830215262,-0.0766900981290914,-0.150516488261467,0.00822204206966857,0.122714956540491,0.444367325074087,0.291114721743277,0.219561154485174
"X1089_M_lu_yes",-0.0439903321218224,-0.243005512385525,-0.0255558929553781,-0.0120661139487585,0.1653497062786,-0.20216491070824,-0.291165997293008,-0.130017885960175,-0.00911147841210636,0.190219878170903,0.0898883031383259,0.0627062896682797,0.187730256000871
"X1192_M_lu_yes",0.0618226643479118,-0.0728625218498917,0.057799436154936,-0.0695838812420376,0.142277498896566,-0.230167200689178,-0.153821124545766,-0.143715783988867,0.0439074532265228,0.187903386651996,0.12184697757176,-0.152123200161329,0.210147845463715
"X1169_M_lu_no",0.135925938403809,-0.00882976731842328,0.239377815101015,-0.205843332881899,-0.238250168333275,0.0933686211144464,0.239909861923636,0.270519629629916,0.178253327048491,0.00223198906049225,-0.147002350293034,-0.132605173982382,-0.169654238209423
"X1148_M_lu_yes",0.804954050733407,-0.099039782991154,-0.00271371484207217,-0.055875588032405,0.132824784402802,-0.177659291937458,-0.128786266499957,-0.0734920481156879,0.0197089321163373,0.194487031554068,-0.213319190539938,-0.164853438304012,0.158344841587046
"X1139_M_lu_yes",-0.0483957475216044,0.0332041558914073,0.162706103263671,0.265552251345469,0.164826687684893,-0.0273212312474215,-0.177023592238717,-0.21751660482576,-0.134688447225178,-0.0752479209547198,0.0860213272711819,0.0622555459423605,0.0599422640623688
"X1013_M_lu_no",-0.0592991143798061,-0.0416892762011919,-0.0569284642096379,-0.0944029484211771,-0.0192782820837003,-0.124850964233173,-0.0541059622315884,-0.0106815535010904,0.0819987183483726,0.130339513314367,0.163718869449255,-0.101625762839137,0.104786950129973
"X1143_M_lu_no",-0.103105397349688,-0.0161112329091062,-0.156699462046677,0.00566068577653595,-0.293137416340376,0.401606842108588,0.243644669948689,0.307532695660521,-0.0101994612185308,-0.241797302711067,-0.200132657358229,0.157149417202865,-0.413655248686308
"X1173_M_lu_no",-0.0729160404597683,-0.388747034299078,-0.118654927583254,0.0144333684507011,-0.142931223370843,0.0718146253476724,-0.200987743229412,0.161253949560791,-0.0335916262944153,-0.0478904425730783,-0.00691449944650663,0.259339501088201,-0.129724215321139
"X1071_M_lu_no",-0.0876940375714406,-0.0584725109348908,-0.135286834087086,-0.159088838970204,-0.0886653690633652,-0.0525449611065588,0.0500389261880976,0.112968969802178,0.124283960270115,0.0646143901790261,0.107291352236067,0.0141987665084516,0.0191960553375679
"X1155_F_lu_yes",-0.0713336193492038,0.178665239642865,-0.0791741362109899,0.0983918856587362,0.0215080070497843,0.0956475159322441,0.0645789917968723,-0.0229066482268353,-0.12117237661932,-0.12263757886182,-0.029512775865804,-0.0142459453743454,-0.065281093826194
"X1158_M_lu_yes",0.00588675382257837,-0.0552724920901903,-0.0322898004669216,0.0500512947761321,0.170165658083797,-0.112284055201535,-0.164000114588177,-0.149607928884619,-0.0748804825628729,0.0915046898020065,0.0932837038187978,-0.143053075971338,0.125042043897323
"X1168_F_lu_yes",-0.0919042841319782,-0.0634105790249219,-0.0650654776996391,-0.154172881038303,-0.105119606584252,-0.0075797817215865,0.0946686051421732,0.161274508290488,0.161872285028905,0.114041823165826,-0.15958307047472,0.308299360780449,-0.0253377603066171
