"","MEbrown","MElightcyan","MEsalmon","MEturquoise","MEblack","MEpink","MEyellow","MEcyan","MEred","MEmagenta","MEpurple","MEtan","MEgreenyellow","MEmidnightblue","MEblue","MEgreen","MEgrey"
"X1170_F_kid_yes",0.121230445562633,-0.13962033099083,0.0136618915458507,-0.067592734686071,-0.11164863528622,-0.232623241352435,0.148908674461601,-0.158341448746493,-0.189978906262219,-0.0772273887247849,-0.151063288098032,-0.0186914764586154,0.0494164441137393,-0.106784072761525,0.0420584002641891,-0.154512741171963,0.167211843826401
"X1165_F_kid_yes",0.156342812781354,0.255746002339231,0.0371815866841917,0.05460112871311,-0.0656957149145228,-0.0690844278871662,0.0223341880797303,-0.0736389088278065,-0.168643035982581,-0.0948020859567481,-0.202388816395477,0.297669752842085,0.00459541618386428,0.0117846822838157,-0.0693596813924167,-0.131758947628635,0.0808018512032298
"X1156_F_kid_yes",0.0829966352512455,0.0340382919419539,-0.0138125271067754,0.042884996810563,-0.169245620416346,0.143523340949786,-0.00955566456626876,0.161526946939343,0.00913523091763692,-0.135150324853906,-0.143020982056389,-0.103185237304075,-0.0196196117870983,0.0685441276582768,-0.0741140077365734,-0.0525284915466083,0.11109176442298
"X1109_F_kid_no",0.146583576153773,0.166941181864459,0.214220834235392,0.142398388277152,0.0953707042848338,-0.0652986836296713,-0.0521167260352243,-0.0190178484069898,-0.104112170015445,0.0943729325907477,-0.0600008692163364,-0.161496451236504,-0.0128611500509295,0.0126538671817331,-0.167072841472609,-0.135318203641067,0.0704259749484502
"X1164_F_kid_no",-0.225308006280772,0.107158387011465,-0.133649814213229,0.1527638591743,0.323480402072709,0.181623681021551,-0.186167137611102,0.196882832179396,0.322790526991992,0.429560564896213,0.290830351650527,-0.143299936752265,-0.59875006379612,-0.52053602377549,-0.0409064835456799,0.141417966798468,-0.271491323438773
"X1010_F_kid_yes",-0.0523224650851734,0.00562915627650703,-0.241176744635847,-0.0941282423601231,-0.0268510922752089,-0.103049829072317,0.0541287480554121,0.157024641498553,0.223977260408771,0.349088882825347,0.326536776886562,-0.120902283949177,-0.0822805368457548,-0.0623145242757299,0.0471348954782272,0.0162499425685459,0.0866390662071929
"X1154_F_kid_no",0.121561072286751,-0.0746140381307339,0.0248221068816802,0.0937634456400021,-0.152324354788826,0.145580265988559,-0.0273955026027,0.32148039994082,0.164641349185203,-0.109529681650218,-0.174532092129894,-0.145048509761126,-0.116846569833739,0.0178533103248927,-0.144169291016919,-0.0718085202347661,0.117005021847801
"X1151_F_kid_no",0.15748955741036,-0.024314672260174,0.0349828164892843,-0.0725312078047471,-0.185021831965506,-0.187423334743769,0.177000767213418,0.0808492729098876,-0.0384380790535055,-0.0994243928089553,-0.132983468345298,-0.124209602792225,0.0707734064761617,-0.0728721427342863,0.00147399013484503,-0.148552315593562,0.209674104863417
"X1152_F_kid_no",0.123358622450903,-0.0455260760220638,-0.041771761547091,-0.0895473651040883,-0.233241735439536,-0.0786430820410537,0.172715469522418,0.167650581020939,0.0757657173262556,-0.0774423096651714,-0.0802446343531277,-0.149173930004898,0.0612968239206488,-0.0219947731228204,-0.0207401885559807,-0.12463453499589,0.170857622834387
"X1108_F_kid_yes",0.0875124080173234,0.0526625905159442,0.215919134082056,0.198315372881865,0.180982198232315,0.0220263828320184,-0.145539005718495,-0.0787194996061911,-0.16336898411264,-0.00584991443932662,-0.0921464156644108,-0.147627981318218,0.0672422619723134,0.182886101293742,-0.190049021473617,-0.117023480163951,-0.0177295296632043
"X1051_F_kid_yes",0.142540303617788,0.108633179274518,-0.0230528248054822,0.199774280508862,0.15075659325885,-0.0656081596047665,-0.106240841996269,0.0790131283751794,-0.0766912833117512,0.0100444296765393,-0.14236209184706,-0.154374941544051,0.0306884450841962,0.0904723122557025,-0.230582455750136,-0.171755388517024,0.0730809231212079
"X1157_F_kid_no",-0.326622719751395,0.182552684631605,0.395650699647075,0.402195674770479,0.62319452067331,0.761321010058826,-0.71925817824059,-0.616422144308279,-0.39035511041932,0.0369118482247759,0.0715050915803442,0.0176418680785031,-0.102693645523309,0.481332293253695,-0.139204574092345,0.511964428106102,-0.72407721604619
"X1175_F_kid_no",-0.447954995444952,0.0275572028203499,-0.0831907762600666,-0.388436619677606,0.0902071109444327,-0.0449729643394888,0.140741788678845,-0.239277121112952,0.270431921383056,-0.295490465080495,0.135362932707321,-0.0637476798422549,0.350996896957521,0.216889473359468,0.47858781817289,0.403025649047646,-0.290230782593537
"X1174_F_kid_no",-0.242060570472275,-0.242307485298478,-0.0519624006344178,-0.256921308070721,-0.154955787422155,0.00547253583469493,0.156175268563772,0.213153077819621,0.399688631667285,-0.225036051931323,0.0938900171507678,0.18793022494231,0.112523315502776,0.0487698501843275,0.285532221145917,0.222698331765777,-0.0454698834198085
"X1127_M_kid_yes",0.119531700741656,0.162994214131849,0.13359175416843,0.138207365714913,0.0844162970741702,-0.0332996957288853,-0.00635434083140712,0.181834401278816,0.121577308168028,-0.0653559756724563,-0.181489595149474,-0.162961960069576,-0.565358970526277,-0.532269651160431,-0.149810048734803,-0.146711471385787,0.030544819958198
"X1119_M_kid_yes",0.157014265460654,-0.0407361291644884,0.0555988904588958,0.0265429274167979,-0.0891644893426013,-0.0395304604574426,0.0489116769065727,0.142612295557244,0.00895096045324602,-0.106986534541199,-0.171784057369311,-0.134000909456116,-0.00172219663399452,-0.0353039088630241,-0.0874887566955746,-0.13513348601813,0.136811702295861
"X1081_M_kid_no",-0.061637449542882,0.0665676920508875,-0.263278515194551,-0.0915607991845749,-0.0616162060834712,-0.0152915102165743,0.0806974340861156,-0.0515454415925938,-0.0344333338297725,0.395267523100529,0.361334823676883,0.355826810848141,0.0864410547693272,-0.00613881831933149,0.109148935443092,0.00530611993867924,0.0186372732717689
"X1132_M_kid_no",-0.0549643486034188,0.1753515933012,0.00934535855621801,0.0701306845417576,0.166162067894067,0.0180963704380011,-0.167179882630289,-0.2013810702842,-0.218945847147448,0.134018342136261,0.165428380516032,-0.0889874082652495,0.0435170789264581,0.12757591930176,-0.0319277509522404,0.0326566485200866,-0.0657174077775635
"X1105_M_kid_yes",0.161641133727784,0.162278171446486,0.0731691596953506,0.135302798209763,0.0722292033313594,-0.0277684299481211,-0.0476881374745026,0.211349096146178,0.0857205742813626,-0.0847994298453248,-0.182876452487105,-0.133801739039695,-0.0350940597976741,-0.00648027423212554,-0.184554296427245,-0.126843170016661,0.0491712003931386
"X1089_M_kid_yes",0.133148467996727,0.0489814765876392,0.14596597239135,0.319587110896708,0.208430292641269,0.254871545823068,-0.306936132359746,-0.00725980904994117,-0.196398112044888,0.0328180652240427,-0.124202885404122,-0.168537157158784,-0.0936504083152356,0.14723329109031,-0.283590024782511,-0.0473517302425084,-0.0780547409109893
"X1192_M_kid_yes",0.161681372736438,-0.0762210912018165,0.0395998539639185,-0.123993364219576,-0.18024151725097,-0.291160005675957,0.238410816557609,0.0595678928416689,0.00230224500761792,-0.104965821871455,-0.148628199150384,-0.122090750968622,0.0799320388914497,-0.164711530740007,0.0521973034169946,-0.16443295027463,0.178513642324706
"X1169_M_kid_no",-0.257753326153907,-0.172167449763756,0.0962749845368366,-0.264057950002316,-0.101816918877143,-0.0607160602007642,0.16740760561721,-0.0380483989492057,0.195326477272184,-0.0636070899299923,0.264768262557577,-0.0519545304340061,0.180956414629313,0.0113438902875359,0.306092365440513,0.288549758658096,-0.102268651341957
"X1148_M_kid_yes",0.124995414463849,-0.139571983283558,0.0214968676329926,0.0114612888907435,-0.133320053165234,-0.000311937476091333,0.0651099123707268,0.00417768820820846,-0.106421751500002,-0.127394508899871,-0.135195076232444,-0.059618402022621,0.073460494222551,0.0295924362938103,-0.0419620274486044,-0.0979587449962662,0.101198162174155
"X1138_M_kid_yes",0.100998051786624,0.1879217839817,0.0682975262930157,-0.0085769645200412,0.0227528831648076,-0.168475395009963,0.0270221300073636,-0.21988303082278,-0.21471443434895,-0.0790607571095136,-0.114172667354806,0.268223072345629,0.0665069199055406,-0.0316822027784824,-0.0250502692002631,-0.110081339062614,0.0638063379435897
"X1139_M_kid_yes",0.190227281675155,0.0861592596006752,0.136874277736375,0.170797764594251,0.0445816270851208,0.0491226313859625,-0.0825376238848952,-0.106338752570428,-0.27680257680876,-0.0393520473711153,-0.158729819319532,0.312767204479759,-0.0133984694855305,0.0174713460008357,-0.18067431038895,-0.108910550414747,0.00471591916991887
"X1013_M_kid_no",-0.0459588495450667,0.0217547861376193,-0.298221327613839,-0.120162461556794,-0.0712194306359828,-0.171617197250012,0.128438662905173,0.0432527841837264,0.0868625817946815,0.232387295523707,0.179414565761697,0.467692987098682,0.0988226044103055,-0.0483655665885232,0.122294195071193,-0.0667470427996409,0.153563588840153
"X1143_M_kid_no",-0.384753597431367,-0.161169077172859,0.0761104186605328,-0.348916682862684,-0.0294457872419131,-0.00419502846493747,0.178854261820713,-0.196095717058181,0.16025634562954,-0.269649147141524,0.137564348763698,0.184494464885018,0.242971343991567,0.159187358532371,0.412200291928893,0.366878994500268,-0.225446627786783
"X1173_M_kid_no",-0.18951679380981,-0.736679320625332,-0.642647441648148,-0.232301386991924,-0.296754725551608,0.0774316787669505,0.050111769104809,-0.0144058475635388,0.0518764943504221,0.346654043295218,0.369185859321795,0.16146450285795,0.022134722637929,-0.0141367699504979,0.204535613169712,0.123315268800781,-0.00326465666775147
